X,CH1,
Second,Volt,
-2.72e-04,-4.00e-02,
-2.70e-04,-4.00e-02,
-2.68e-04,-4.00e-02,
-2.66e-04,-4.00e-02,
-2.64e-04,-4.00e-02,
-2.62e-04,-7.99e-02,
-2.60e-04,-4.00e-02,
-2.58e-04,-7.99e-02,
-2.56e-04,-7.99e-02,
-2.54e-04,-4.00e-02,
-2.52e-04,-4.00e-02,
-2.50e-04,-7.99e-02,
-2.48e-04,-4.00e-02,
-2.46e-04,-4.00e-02,
-2.44e-04,-4.00e-02,
-2.42e-04,-4.00e-02,
-2.40e-04,-4.00e-02,
-2.38e-04,-7.99e-02,
-2.36e-04,-4.00e-02,
-2.34e-04,-4.00e-02,
-2.32e-04,-4.00e-02,
-2.30e-04,-7.99e-02,
-2.28e-04,-4.00e-02,
-2.26e-04,-7.99e-02,
-2.24e-04,-4.00e-02,
-2.22e-04,-7.99e-02,
-2.20e-04,-4.00e-02,
-2.18e-04,-4.00e-02,
-2.16e-04,-4.00e-02,
-2.14e-04,-4.00e-02,
-2.12e-04,-4.00e-02,
-2.10e-04,-7.99e-02,
-2.08e-04,-7.99e-02,
-2.06e-04,-4.00e-02,
-2.04e-04,-4.00e-02,
-2.02e-04,-4.00e-02,
-2.00e-04,-4.00e-02,
-1.98e-04,-4.00e-02,
-1.96e-04,-4.00e-02,
-1.94e-04,-7.99e-02,
-1.92e-04,-4.00e-02,
-1.90e-04,-4.00e-02,
-1.88e-04,-4.00e-02,
-1.86e-04,-7.99e-02,
-1.84e-04,-4.00e-02,
-1.82e-04,-4.00e-02,
-1.80e-04,-4.00e-02,
-1.78e-04,-4.00e-02,
-1.76e-04,-4.00e-02,
-1.74e-04,-4.00e-02,
-1.72e-04,-4.00e-02,
-1.70e-04,-7.99e-02,
-1.68e-04,-4.00e-02,
-1.66e-04,-7.99e-02,
-1.64e-04,-4.00e-02,
-1.62e-04,-7.99e-02,
-1.60e-04,-4.00e-02,
-1.58e-04,-7.99e-02,
-1.56e-04,-4.00e-02,
-1.54e-04,-4.00e-02,
-1.52e-04,-4.00e-02,
-1.50e-04,-4.00e-02,
-1.48e-04,-4.00e-02,
-1.46e-04,-4.00e-02,
-1.44e-04,-4.00e-02,
-1.42e-04,-4.00e-02,
-1.40e-04,-4.00e-02,
-1.38e-04,-7.99e-02,
-1.36e-04,-4.00e-02,
-1.34e-04,-4.00e-02,
-1.32e-04,-4.00e-02,
-1.30e-04,-4.00e-02,
-1.28e-04,-4.00e-02,
-1.26e-04,-7.99e-02,
-1.24e-04,-7.99e-02,
-1.22e-04,-4.00e-02,
-1.20e-04,-4.00e-02,
-1.18e-04,-7.99e-02,
-1.16e-04,-4.00e-02,
-1.14e-04,-4.00e-02,
-1.12e-04,-4.00e-02,
-1.10e-04,-4.00e-02,
-1.08e-04,-7.99e-02,
-1.06e-04,-4.00e-02,
-1.04e-04,-4.00e-02,
-1.02e-04,-7.99e-02,
-1.00e-04,-4.00e-02,
-9.80e-05,-4.00e-02,
-9.60e-05,-4.00e-02,
-9.40e-05,-4.00e-02,
-9.20e-05,-4.00e-02,
-9.00e-05,-7.99e-02,
-8.80e-05,-4.00e-02,
-8.60e-05,-7.99e-02,
-8.40e-05,-4.00e-02,
-8.20e-05,-4.00e-02,
-8.00e-05,-4.00e-02,
-7.80e-05,-7.99e-02,
-7.60e-05,-4.00e-02,
-7.40e-05,-7.99e-02,
-7.20e-05,-4.00e-02,
-7.00e-05,-7.99e-02,
-6.80e-05,-4.00e-02,
-6.60e-05,-7.99e-02,
-6.40e-05,-4.00e-02,
-6.20e-05,-7.99e-02,
-6.00e-05,-4.00e-02,
-5.80e-05,-7.99e-02,
-5.60e-05,-4.00e-02,
-5.40e-05,-4.00e-02,
-5.20e-05,-4.00e-02,
-5.00e-05,-4.00e-02,
-4.80e-05,-4.00e-02,
-4.60e-05,-4.00e-02,
-4.40e-05,-4.00e-02,
-4.20e-05,-7.99e-02,
-4.00e-05,-4.00e-02,
-3.80e-05,-7.99e-02,
-3.60e-05,-4.00e-02,
-3.40e-05,-4.00e-02,
-3.20e-05,-4.00e-02,
-3.00e-05,-4.00e-02,
-2.80e-05,-4.00e-02,
-2.60e-05,-4.00e-02,
-2.40e-05,-4.00e-02,
-2.20e-05,-2.40e-01,
-2.00e-05,-2.80e-01,
-1.80e-05,-5.20e-01,
-1.60e-05,-5.20e-01,
-1.40e-05,-7.60e-01,
-1.20e-05,-8.00e-01,
-9.99e-06,-1.04e+00,
-7.99e-06,-1.08e+00,
-6.00e-06,-1.28e+00,
-4.00e-06,-1.36e+00,
-2.00e-06,-1.56e+00,
0.00e+00,-1.60e+00,
2.00e-06,-1.84e+00,
4.00e-06,-1.84e+00,
6.00e-06,-2.04e+00,
7.99e-06,-2.04e+00,
9.99e-06,-2.24e+00,
1.20e-05,-2.28e+00,
1.40e-05,-2.52e+00,
1.60e-05,-2.52e+00,
1.80e-05,-2.68e+00,
2.00e-05,-2.68e+00,
2.20e-05,-2.84e+00,
2.40e-05,-2.88e+00,
2.60e-05,-3.04e+00,
2.80e-05,-3.04e+00,
3.00e-05,-3.16e+00,
3.20e-05,-3.20e+00,
3.40e-05,-3.32e+00,
3.60e-05,-3.32e+00,
3.80e-05,-3.48e+00,
4.00e-05,-3.48e+00,
4.20e-05,-3.52e+00,
4.40e-05,-3.52e+00,
4.60e-05,-3.64e+00,
4.80e-05,-3.64e+00,
5.00e-05,-3.68e+00,
5.20e-05,-3.68e+00,
5.40e-05,-3.72e+00,
5.60e-05,-3.76e+00,
5.80e-05,-3.72e+00,
6.00e-05,-3.76e+00,
6.20e-05,-3.68e+00,
6.40e-05,-3.72e+00,
6.60e-05,-3.68e+00,
6.80e-05,-3.68e+00,
7.00e-05,-3.64e+00,
7.20e-05,-3.64e+00,
7.40e-05,-3.56e+00,
7.60e-05,-3.56e+00,
7.80e-05,-3.48e+00,
8.00e-05,-3.48e+00,
8.20e-05,-3.40e+00,
8.40e-05,-3.40e+00,
8.60e-05,-3.24e+00,
8.80e-05,-3.20e+00,
9.00e-05,-3.08e+00,
9.20e-05,-3.04e+00,
9.40e-05,-2.92e+00,
9.60e-05,-2.92e+00,
9.80e-05,-2.76e+00,
1.00e-04,-2.72e+00,
1.02e-04,-2.56e+00,
1.04e-04,-2.56e+00,
1.06e-04,-2.36e+00,
1.08e-04,-2.36e+00,
1.10e-04,-2.12e+00,
1.12e-04,-2.12e+00,
1.14e-04,-1.88e+00,
1.16e-04,-1.88e+00,
1.18e-04,-1.64e+00,
1.20e-04,-1.60e+00,
1.22e-04,-1.40e+00,
1.24e-04,-1.40e+00,
1.26e-04,-1.12e+00,
1.28e-04,-1.12e+00,
1.30e-04,-8.40e-01,
1.32e-04,-8.40e-01,
1.34e-04,-6.00e-01,
1.36e-04,-5.20e-01,
1.38e-04,-2.80e-01,
1.40e-04,-2.80e-01,
1.42e-04,-7.99e-02,
1.44e-04,-4.00e-02,
1.46e-04,2.40e-01,
1.48e-04,2.80e-01,
1.50e-04,5.20e-01,
1.52e-04,4.80e-01,
1.54e-04,6.40e-01,
1.56e-04,6.00e-01,
1.58e-04,6.80e-01,
1.60e-04,6.80e-01,
1.62e-04,7.20e-01,
1.64e-04,7.60e-01,
1.66e-04,7.20e-01,
1.68e-04,8.00e-01,
1.70e-04,7.60e-01,
1.72e-04,8.00e-01,
1.74e-04,8.00e-01,
1.76e-04,8.00e-01,
1.78e-04,8.00e-01,
1.80e-04,8.00e-01,
1.82e-04,8.00e-01,
1.84e-04,8.00e-01,
1.86e-04,8.00e-01,
1.88e-04,8.00e-01,
1.90e-04,8.00e-01,
1.92e-04,8.00e-01,
1.94e-04,8.00e-01,
1.96e-04,8.00e-01,
1.98e-04,8.00e-01,
2.00e-04,8.00e-01,
2.02e-04,8.00e-01,
2.04e-04,8.00e-01,
2.06e-04,8.00e-01,
2.08e-04,8.00e-01,
2.10e-04,8.00e-01,
2.12e-04,8.00e-01,
2.14e-04,8.00e-01,
2.16e-04,8.00e-01,
2.18e-04,8.00e-01,
2.20e-04,8.00e-01,
2.22e-04,8.00e-01,
2.24e-04,8.00e-01,
2.26e-04,8.00e-01,
2.28e-04,8.00e-01,
2.30e-04,8.00e-01,
2.32e-04,8.00e-01,
2.34e-04,8.00e-01,
2.36e-04,8.00e-01,
2.38e-04,8.00e-01,
2.40e-04,8.00e-01,
2.42e-04,8.00e-01,
2.44e-04,8.00e-01,
2.46e-04,8.00e-01,
2.48e-04,8.00e-01,
2.50e-04,8.00e-01,
2.52e-04,8.00e-01,
2.54e-04,8.00e-01,
2.56e-04,8.00e-01,
2.58e-04,8.00e-01,
2.60e-04,8.00e-01,
2.62e-04,8.00e-01,
2.64e-04,8.00e-01,
2.66e-04,8.00e-01,
2.68e-04,8.00e-01,
2.70e-04,7.60e-01,
2.72e-04,8.00e-01,
2.74e-04,8.00e-01,
2.76e-04,8.00e-01,
2.78e-04,8.00e-01,
2.80e-04,8.00e-01,
2.82e-04,8.00e-01,
2.84e-04,8.00e-01,
2.86e-04,8.00e-01,
2.88e-04,8.00e-01,
2.90e-04,8.00e-01,
2.92e-04,8.00e-01,
2.94e-04,8.00e-01,
2.96e-04,8.00e-01,
2.98e-04,8.00e-01,
3.00e-04,8.00e-01,
3.02e-04,8.00e-01,
3.04e-04,8.00e-01,
3.06e-04,7.60e-01,
3.08e-04,8.00e-01,
3.10e-04,7.60e-01,
3.12e-04,7.60e-01,
3.14e-04,6.80e-01,
3.16e-04,7.20e-01,
3.18e-04,6.00e-01,
3.20e-04,6.00e-01,
3.22e-04,7.99e-02,
3.24e-04,4.00e-02,
3.26e-04,-4.00e-02,
3.28e-04,-4.00e-02,
3.30e-04,-4.00e-02,
3.32e-04,-4.00e-02,
3.34e-04,-4.00e-02,
3.36e-04,-4.00e-02,
3.38e-04,-4.00e-02,
3.40e-04,-4.00e-02,
3.42e-04,-4.00e-02,
3.44e-04,-7.99e-02,
3.46e-04,0.00e+00,
3.48e-04,-4.00e-02,
3.50e-04,-7.99e-02,
3.52e-04,-4.00e-02,
3.54e-04,-7.99e-02,
3.56e-04,-4.00e-02,
3.58e-04,-4.00e-02,
3.60e-04,-4.00e-02,
3.62e-04,-7.99e-02,
3.64e-04,-4.00e-02,
3.66e-04,-4.00e-02,
3.68e-04,-4.00e-02,
3.70e-04,-4.00e-02,
3.72e-04,-4.00e-02,
3.74e-04,-4.00e-02,
3.76e-04,0.00e+00,
3.78e-04,-7.99e-02,
3.80e-04,-4.00e-02,
3.82e-04,-7.99e-02,
3.84e-04,-4.00e-02,
3.86e-04,-7.99e-02,
3.88e-04,-4.00e-02,
3.90e-04,-7.99e-02,
3.92e-04,-4.00e-02,
3.94e-04,-4.00e-02,
3.96e-04,-4.00e-02,
3.98e-04,-7.99e-02,
4.00e-04,-4.00e-02,
4.02e-04,-7.99e-02,
4.04e-04,-4.00e-02,
4.06e-04,-7.99e-02,
4.08e-04,-4.00e-02,
4.10e-04,-4.00e-02,
4.12e-04,-4.00e-02,
4.14e-04,-7.99e-02,
4.16e-04,-4.00e-02,
4.18e-04,-7.99e-02,
4.20e-04,-4.00e-02,
4.22e-04,-7.99e-02,
4.24e-04,-7.99e-02,
4.26e-04,-4.00e-02,
4.28e-04,-4.00e-02,
4.30e-04,-7.99e-02,
4.32e-04,-4.00e-02,
4.34e-04,-7.99e-02,
4.36e-04,-4.00e-02,
4.38e-04,-4.00e-02,
4.40e-04,-4.00e-02,
4.42e-04,-7.99e-02,
4.44e-04,-4.00e-02,
4.46e-04,-7.99e-02,
4.48e-04,-4.00e-02,
4.50e-04,-4.00e-02,
4.52e-04,-4.00e-02,
4.54e-04,-4.00e-02,
4.56e-04,-4.00e-02,
4.58e-04,-4.00e-02,
4.60e-04,-4.00e-02,
4.62e-04,-4.00e-02,
4.64e-04,-4.00e-02,
4.66e-04,-4.00e-02,
4.68e-04,-4.00e-02,
4.70e-04,-7.99e-02,
4.72e-04,-4.00e-02,
4.74e-04,-4.00e-02,
4.76e-04,-4.00e-02,
4.78e-04,-7.99e-02,
4.80e-04,-4.00e-02,
4.82e-04,-7.99e-02,
4.84e-04,-7.99e-02,
4.86e-04,-4.00e-02,
4.88e-04,-4.00e-02,
4.90e-04,0.00e+00,
4.92e-04,-4.00e-02,
4.94e-04,-7.99e-02,
4.96e-04,-4.00e-02,
4.98e-04,-4.00e-02,
5.00e-04,-4.00e-02,
5.02e-04,-7.99e-02,
5.04e-04,-4.00e-02,
5.06e-04,-4.00e-02,
5.08e-04,-4.00e-02,
5.10e-04,-4.00e-02,
5.12e-04,-4.00e-02,
5.14e-04,-4.00e-02,
5.16e-04,-4.00e-02,
5.18e-04,-7.99e-02,
5.20e-04,-7.99e-02,
5.22e-04,-4.00e-02,
5.24e-04,-4.00e-02,
5.26e-04,-7.99e-02,
5.28e-04,-4.00e-02,
5.30e-04,-4.00e-02,
5.32e-04,-4.00e-02,
5.34e-04,-7.99e-02,
5.36e-04,-4.00e-02,
5.38e-04,-7.99e-02,
5.40e-04,-4.00e-02,
5.42e-04,-7.99e-02,
5.44e-04,-7.99e-02,
5.46e-04,-4.00e-02,
5.48e-04,-4.00e-02,
5.50e-04,-4.00e-02,
5.52e-04,-4.00e-02,
5.54e-04,-4.00e-02,
5.56e-04,-4.00e-02,
5.58e-04,-7.99e-02,
5.60e-04,-4.00e-02,
5.62e-04,-7.99e-02,
5.64e-04,-7.99e-02,
