X,CH1,CH2,
Second,Volt,Volt,
-6.72e-04,0.00e+00,-1.20e-01,
-6.68e-04,4.00e-03,-4.00e-02,
-6.64e-04,2.00e-03,-1.20e-01,
-6.60e-04,0.00e+00,-1.60e-01,
-6.56e-04,2.00e-03,-4.00e-02,
-6.52e-04,0.00e+00,-1.20e-01,
-6.48e-04,0.00e+00,-1.20e-01,
-6.44e-04,2.00e-03,-1.60e-01,
-6.40e-04,0.00e+00,-4.00e-02,
-6.36e-04,2.00e-03,-1.60e-01,
-6.32e-04,0.00e+00,-1.20e-01,
-6.28e-04,4.00e-03,-4.00e-02,
-6.24e-04,4.00e-03,-1.20e-01,
-6.20e-04,0.00e+00,-4.00e-02,
-6.16e-04,0.00e+00,-1.20e-01,
-6.12e-04,4.00e-03,-4.00e-02,
-6.08e-04,4.00e-03,-1.20e-01,
-6.04e-04,0.00e+00,-1.20e-01,
-6.00e-04,2.00e-03,-4.00e-02,
-5.96e-04,-4.00e-03,-1.60e-01,
-5.92e-04,2.00e-03,-4.00e-02,
-5.88e-04,0.00e+00,-1.20e-01,
-5.84e-04,0.00e+00,-1.20e-01,
-5.80e-04,6.00e-03,-4.00e-02,
-5.76e-04,4.00e-03,-4.00e-02,
-5.72e-04,0.00e+00,-1.60e-01,
-5.68e-04,0.00e+00,-1.20e-01,
-5.64e-04,2.00e-03,-1.60e-01,
-5.60e-04,0.00e+00,-1.20e-01,
-5.56e-04,2.00e-03,-1.60e-01,
-5.52e-04,0.00e+00,-1.60e-01,
-5.48e-04,4.00e-03,-1.20e-01,
-5.44e-04,2.00e-03,-1.60e-01,
-5.40e-04,4.00e-03,-4.00e-02,
-5.36e-04,4.00e-03,-1.20e-01,
-5.32e-04,2.00e-03,-1.60e-01,
-5.28e-04,2.00e-03,-1.60e-01,
-5.24e-04,4.00e-03,-4.00e-02,
-5.20e-04,2.00e-03,-4.00e-02,
-5.16e-04,4.00e-03,-1.60e-01,
-5.12e-04,2.00e-03,-1.20e-01,
-5.08e-04,4.00e-03,-1.60e-01,
-5.04e-04,2.00e-03,-1.20e-01,
-5.00e-04,4.00e-03,-4.00e-02,
-4.96e-04,2.00e-03,-1.20e-01,
-4.92e-04,4.00e-03,-4.00e-02,
-4.88e-04,4.00e-03,-4.00e-02,
-4.84e-04,2.00e-03,-1.60e-01,
-4.80e-04,2.00e-03,-1.60e-01,
-4.76e-04,0.00e+00,-4.00e-02,
-4.72e-04,1.00e-02,-1.20e-01,
-4.68e-04,0.00e+00,-1.20e-01,
-4.64e-04,4.00e-03,-1.20e-01,
-4.60e-04,2.00e-03,-1.60e-01,
-4.56e-04,4.00e-03,-1.60e-01,
-4.52e-04,0.00e+00,-4.00e-02,
-4.48e-04,2.00e-03,-1.20e-01,
-4.44e-04,4.00e-03,-1.60e-01,
-4.40e-04,4.00e-03,-1.60e-01,
-4.36e-04,2.00e-03,-4.00e-02,
-4.32e-04,4.00e-03,-4.00e-02,
-4.28e-04,0.00e+00,-1.20e-01,
-4.24e-04,4.00e-03,-1.20e-01,
-4.20e-04,0.00e+00,-1.60e-01,
-4.16e-04,2.00e-03,-4.00e-02,
-4.12e-04,4.00e-03,-1.60e-01,
-4.08e-04,4.00e-03,-1.20e-01,
-4.04e-04,-2.00e-03,-4.00e-02,
-4.00e-04,0.00e+00,-1.20e-01,
-3.96e-04,4.00e-03,-1.20e-01,
-3.92e-04,4.00e-03,-1.20e-01,
-3.88e-04,2.00e-03,-1.60e-01,
-3.84e-04,2.00e-03,-1.20e-01,
-3.80e-04,4.00e-03,-4.00e-02,
-3.76e-04,2.00e-03,-1.60e-01,
-3.72e-04,4.00e-03,-4.00e-02,
-3.68e-04,0.00e+00,-1.20e-01,
-3.64e-04,4.00e-03,-1.60e-01,
-3.60e-04,6.00e-03,-1.20e-01,
-3.56e-04,2.00e-03,-1.60e-01,
-3.52e-04,2.00e-03,-1.20e-01,
-3.48e-04,4.00e-03,-4.00e-02,
-3.44e-04,4.00e-03,-1.20e-01,
-3.40e-04,0.00e+00,-4.00e-02,
-3.36e-04,0.00e+00,-4.00e-02,
-3.32e-04,4.00e-03,-1.60e-01,
-3.28e-04,4.00e-03,-1.60e-01,
-3.24e-04,0.00e+00,-1.20e-01,
-3.20e-04,0.00e+00,-1.20e-01,
-3.16e-04,4.00e-03,-4.00e-02,
-3.12e-04,4.00e-03,-4.00e-02,
-3.08e-04,2.00e-03,-1.60e-01,
-3.04e-04,0.00e+00,-4.00e-02,
-3.00e-04,4.00e-03,-1.60e-01,
-2.96e-04,4.00e-03,-1.20e-01,
-2.92e-04,0.00e+00,-4.00e-02,
-2.88e-04,2.00e-03,-1.20e-01,
-2.84e-04,4.00e-03,-1.20e-01,
-2.80e-04,4.00e-03,-1.20e-01,
-2.76e-04,0.00e+00,-1.20e-01,
-2.72e-04,0.00e+00,-1.20e-01,
-2.68e-04,2.00e-03,-1.60e-01,
-2.64e-04,2.00e-03,-1.20e-01,
-2.60e-04,2.00e-03,-1.20e-01,
-2.56e-04,0.00e+00,-1.20e-01,
-2.52e-04,4.00e-03,-1.60e-01,
-2.48e-04,0.00e+00,-1.20e-01,
-2.44e-04,4.00e-03,-4.00e-02,
-2.40e-04,2.00e-03,-1.60e-01,
-2.36e-04,6.00e-03,-4.00e-02,
-2.32e-04,4.00e-03,-1.20e-01,
-2.28e-04,2.00e-03,-1.60e-01,
-2.24e-04,2.00e-03,-1.20e-01,
-2.20e-04,4.00e-03,-4.00e-02,
-2.16e-04,4.00e-03,-1.20e-01,
-2.12e-04,0.00e+00,-1.20e-01,
-2.08e-04,4.00e-03,-4.00e-02,
-2.04e-04,0.00e+00,-1.60e-01,
-2.00e-04,4.00e-03,-1.60e-01,
-1.96e-04,2.00e-03,-4.00e-02,
-1.92e-04,4.00e-03,-1.20e-01,
-1.88e-04,0.00e+00,-1.60e-01,
-1.84e-04,2.00e-03,-1.20e-01,
-1.80e-04,4.00e-03,-1.60e-01,
-1.76e-04,2.00e-03,-1.20e-01,
-1.72e-04,4.00e-03,-4.00e-02,
-1.68e-04,4.00e-03,-4.00e-02,
-1.64e-04,0.00e+00,-1.20e-01,
-1.60e-04,2.00e-03,-1.20e-01,
-1.56e-04,8.00e-03,-1.60e-01,
-1.52e-04,2.00e-03,-1.20e-01,
-1.48e-04,4.00e-03,-1.20e-01,
-1.44e-04,2.00e-03,-1.20e-01,
-1.40e-04,4.00e-03,-1.60e-01,
-1.36e-04,6.00e-03,-1.20e-01,
-1.32e-04,2.40e-02,-5.60e-01,
-1.28e-04,2.60e-02,-6.00e-01,
