X,CH1,
Second,Volt,
4.84e-04,-1.84e-01,
4.88e-04,-1.76e-01,
4.92e-04,-1.52e-01,
4.96e-04,-1.36e-01,
5.00e-04,-1.20e-01,
5.04e-04,-1.04e-01,
5.08e-04,-9.60e-02,
5.12e-04,-9.60e-02,
5.16e-04,-8.79e-02,
5.20e-04,-8.79e-02,
5.24e-04,-8.79e-02,
5.28e-04,-8.79e-02,
5.32e-04,-7.99e-02,
5.36e-04,-7.20e-02,
5.40e-04,-7.20e-02,
5.44e-04,-7.20e-02,
5.48e-04,-7.99e-02,
5.52e-04,-8.79e-02,
5.56e-04,-8.79e-02,
5.60e-04,-1.04e-01,
5.64e-04,-1.20e-01,
5.68e-04,-1.36e-01,
5.72e-04,-1.52e-01,
5.76e-04,-1.76e-01,
5.80e-04,-1.84e-01,
5.84e-04,-2.08e-01,
5.88e-04,-2.24e-01,
5.92e-04,-2.32e-01,
5.96e-04,-2.48e-01,
6.00e-04,-2.56e-01,
6.04e-04,-2.72e-01,
6.08e-04,-3.04e-01,
6.12e-04,-3.52e-01,
6.16e-04,-3.92e-01,
6.20e-04,-4.24e-01,
6.24e-04,-4.56e-01,
6.28e-04,-4.56e-01,
6.32e-04,-4.24e-01,
6.36e-04,-3.68e-01,
6.40e-04,-2.80e-01,
6.44e-04,-1.84e-01,
6.48e-04,-1.44e-01,
6.52e-04,-1.12e-01,
6.56e-04,-6.40e-02,
6.60e-04,-2.40e-02,
6.64e-04,1.60e-02,
6.68e-04,6.40e-02,
6.72e-04,1.12e-01,
6.76e-04,1.52e-01,
6.80e-04,1.84e-01,
6.84e-04,2.16e-01,
6.88e-04,2.24e-01,
6.92e-04,2.40e-01,
6.96e-04,2.40e-01,
7.00e-04,2.40e-01,
7.04e-04,2.40e-01,
7.08e-04,2.40e-01,
7.12e-04,2.32e-01,
7.16e-04,2.40e-01,
7.20e-04,2.32e-01,
7.24e-04,2.24e-01,
7.28e-04,2.24e-01,
7.32e-04,2.16e-01,
7.36e-04,2.00e-01,
7.40e-04,1.84e-01,
7.44e-04,1.68e-01,
7.48e-04,1.52e-01,
7.52e-04,1.28e-01,
7.56e-04,1.12e-01,
7.60e-04,9.60e-02,
7.64e-04,6.40e-02,
7.68e-04,4.80e-02,
7.72e-04,2.40e-02,
7.76e-04,-8.00e-03,
7.80e-04,-3.20e-02,
7.84e-04,-7.20e-02,
7.88e-04,-1.28e-01,
7.92e-04,-1.76e-01,
7.96e-04,-2.24e-01,
8.00e-04,-2.48e-01,
8.04e-04,-2.40e-01,
8.08e-04,-1.92e-01,
8.12e-04,-1.20e-01,
8.16e-04,-4.80e-02,
8.20e-04,8.00e-03,
8.24e-04,5.60e-02,
8.28e-04,8.79e-02,
8.32e-04,9.60e-02,
8.36e-04,9.60e-02,
8.40e-04,8.79e-02,
8.44e-04,7.99e-02,
8.48e-04,7.99e-02,
8.52e-04,9.60e-02,
8.56e-04,1.12e-01,
8.60e-04,1.20e-01,
8.64e-04,1.20e-01,
8.68e-04,1.20e-01,
8.72e-04,1.20e-01,
8.76e-04,1.04e-01,
8.80e-04,7.20e-02,
8.84e-04,3.20e-02,
8.88e-04,0.00e+00,
8.92e-04,-3.20e-02,
8.96e-04,-6.40e-02,
9.00e-04,-8.79e-02,
9.04e-04,-1.20e-01,
9.08e-04,-1.36e-01,
9.12e-04,-1.52e-01,
9.16e-04,-1.84e-01,
9.20e-04,-2.32e-01,
9.24e-04,-2.64e-01,
9.28e-04,-2.72e-01,
9.32e-04,-3.04e-01,
9.36e-04,-3.36e-01,
9.40e-04,-3.60e-01,
9.44e-04,-3.92e-01,
9.48e-04,-4.24e-01,
9.52e-04,-4.56e-01,
9.56e-04,-5.04e-01,
9.60e-04,-5.28e-01,
9.64e-04,-5.36e-01,
9.68e-04,-5.28e-01,
9.72e-04,-4.96e-01,
9.76e-04,-4.40e-01,
9.80e-04,-3.92e-01,
9.84e-04,-3.36e-01,
9.88e-04,-2.96e-01,
9.92e-04,-2.80e-01,
9.96e-04,-2.88e-01,
1.00e-03,-3.04e-01,
1.00e-03,-3.28e-01,
1.01e-03,-3.44e-01,
1.01e-03,-3.60e-01,
1.02e-03,-3.68e-01,
1.02e-03,-3.92e-01,
1.02e-03,-4.16e-01,
1.03e-03,-4.48e-01,
1.03e-03,-4.96e-01,
1.04e-03,-5.36e-01,
1.04e-03,-6.00e-01,
1.04e-03,-6.32e-01,
1.05e-03,-6.56e-01,
1.05e-03,-6.64e-01,
1.06e-03,-6.48e-01,
1.06e-03,-6.32e-01,
1.06e-03,-6.48e-01,
1.07e-03,-6.64e-01,
1.07e-03,-6.88e-01,
1.08e-03,-7.20e-01,
1.08e-03,-7.28e-01,
1.08e-03,-7.20e-01,
1.09e-03,-6.88e-01,
1.09e-03,-6.24e-01,
1.10e-03,-5.36e-01,
1.10e-03,-4.56e-01,
1.10e-03,-3.84e-01,
1.11e-03,-3.28e-01,
1.11e-03,-2.96e-01,
1.12e-03,-3.04e-01,
1.12e-03,-3.12e-01,
1.12e-03,-3.44e-01,
1.13e-03,-3.44e-01,
1.13e-03,-3.60e-01,
1.14e-03,-3.52e-01,
1.14e-03,-3.60e-01,
1.14e-03,-3.68e-01,
1.15e-03,-3.84e-01,
1.15e-03,-3.92e-01,
1.16e-03,-3.92e-01,
1.16e-03,-3.68e-01,
1.16e-03,-3.36e-01,
1.17e-03,-2.88e-01,
1.17e-03,-2.72e-01,
1.18e-03,-2.72e-01,
1.18e-03,-2.96e-01,
1.18e-03,-3.36e-01,
1.19e-03,-4.00e-01,
1.19e-03,-4.72e-01,
1.20e-03,-5.20e-01,
1.20e-03,-5.36e-01,
1.20e-03,-5.12e-01,
1.21e-03,-4.56e-01,
1.21e-03,-4.00e-01,
1.22e-03,-3.36e-01,
1.22e-03,-2.96e-01,
1.22e-03,-2.80e-01,
1.23e-03,-2.88e-01,
1.23e-03,-3.12e-01,
1.24e-03,-3.60e-01,
1.24e-03,-3.92e-01,
1.24e-03,-4.08e-01,
1.25e-03,-4.16e-01,
1.25e-03,-4.16e-01,
1.26e-03,-4.24e-01,
1.26e-03,-4.48e-01,
1.26e-03,-4.88e-01,
1.27e-03,-5.68e-01,
1.27e-03,-6.64e-01,
1.28e-03,-7.84e-01,
1.28e-03,-8.80e-01,
1.28e-03,-9.20e-01,
1.29e-03,-9.20e-01,
1.29e-03,-9.20e-01,
1.30e-03,-9.20e-01,
1.30e-03,-9.20e-01,
1.30e-03,-9.20e-01,
1.31e-03,-9.20e-01,
1.31e-03,-9.20e-01,
1.32e-03,-9.20e-01,
1.32e-03,-9.20e-01,
1.32e-03,-9.20e-01,
1.33e-03,-8.96e-01,
1.33e-03,-8.96e-01,
1.34e-03,-8.80e-01,
1.34e-03,-8.64e-01,
1.34e-03,-8.40e-01,
1.35e-03,-7.84e-01,
1.35e-03,-7.12e-01,
1.36e-03,-6.24e-01,
