X,CH1,
Second,Volt,
2.78e-03,-6.64e-01,
2.80e-03,-6.88e-01,
2.82e-03,-5.44e-01,
2.84e-03,-5.12e-01,
2.86e-03,-2.08e-01,
2.88e-03,-1.84e-01,
2.90e-03,-7.20e-02,
2.92e-03,-5.60e-02,
2.94e-03,-2.40e-02,
2.96e-03,-2.40e-02,
2.98e-03,0.00e+00,
3.00e-03,0.00e+00,
3.02e-03,7.99e-02,
3.04e-03,8.79e-02,
3.06e-03,1.20e-01,
3.08e-03,1.44e-01,
3.10e-03,1.20e-01,
3.12e-03,1.20e-01,
3.14e-03,0.00e+00,
3.16e-03,-1.60e-02,
3.18e-03,-1.28e-01,
3.20e-03,-1.28e-01,
3.22e-03,-1.44e-01,
3.24e-03,-1.44e-01,
3.26e-03,-1.76e-01,
3.28e-03,-1.92e-01,
3.30e-03,-2.80e-01,
3.32e-03,-2.88e-01,
3.34e-03,-3.60e-01,
3.36e-03,-3.68e-01,
3.38e-03,-4.48e-01,
3.40e-03,-4.80e-01,
3.42e-03,-4.16e-01,
3.44e-03,-4.00e-01,
3.46e-03,-2.40e-01,
3.48e-03,-2.32e-01,
3.50e-03,-1.28e-01,
3.52e-03,-1.20e-01,
3.54e-03,-8.79e-02,
3.56e-03,-8.79e-02,
3.58e-03,-5.60e-02,
3.60e-03,-5.60e-02,
3.62e-03,-1.60e-02,
3.64e-03,-8.00e-03,
3.66e-03,2.40e-02,
3.68e-03,2.40e-02,
3.70e-03,3.20e-02,
3.72e-03,1.60e-02,
3.74e-03,-1.60e-02,
3.76e-03,-1.60e-02,
3.78e-03,-6.40e-02,
3.80e-03,-6.40e-02,
3.82e-03,-8.79e-02,
3.84e-03,-8.79e-02,
3.86e-03,-1.04e-01,
3.88e-03,-1.20e-01,
3.90e-03,-1.28e-01,
3.92e-03,-1.28e-01,
3.94e-03,-1.28e-01,
3.96e-03,-1.36e-01,
3.98e-03,-1.04e-01,
4.00e-03,-1.04e-01,
4.02e-03,-6.40e-02,
4.04e-03,-5.60e-02,
4.06e-03,-8.00e-03,
4.08e-03,-8.00e-03,
4.10e-03,3.20e-02,
4.12e-03,3.20e-02,
4.14e-03,5.60e-02,
4.16e-03,6.40e-02,
4.18e-03,9.60e-02,
