X;CH1;CH2;Math;0,76;
Second;Volt;Volt;Volt;;
-404;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-402;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-400;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-398;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-396;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-394;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-392;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-390;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-388;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-386;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-384;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-382;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-380;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-378;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-376;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-374;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-372;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-370;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-368;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-366;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-364;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-362;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-360;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-358;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-356;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-354;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-352;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-350;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-348;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-346;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-344;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-342;-7,99E-02;-4,00E-02;-3,99E-02;0,76;
-340;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-338;-4,00E-02;-1,20E-01;8,00E-02;0,76;
-336;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-334;-7,99E-02;0,00E+00;-7,99E-02;0,76;
-332;-4,00E-02;-4,00E-02;0,00E+00;0,76;
-330;0,00E+00;0,00E+00;0,00E+00;0,76;
-328;-4,00E-02;0,00E+00;-4,00E-02;0,76;
-326;-2,00E-01;-4,00E-02;-1,60E-01;0,76;
-324;-2,00E-01;-4,00E-02;-1,60E-01;0,76;
-322;-4,40E-01;0,00E+00;-4,40E-01;0,76;
-320;-4,80E-01;-4,00E-02;-4,40E-01;0,76;
-318;-7,20E-01;0,00E+00;-7,20E-01;0,76;
-316;-7,60E-01;-4,00E-02;-7,20E-01;0,76;
-314;-1,00E+00;0,00E+00;-1,00E+00;0,76;
-312;-1,04E+00;-4,00E-02;-1,00E+00;0,76;
-310;-1,28E+00;0,00E+00;-1,28E+00;0,76;
-308;-1,32E+00;-4,00E-02;-1,28E+00;0,76;
-306;-1,52E+00;0,00E+00;-1,52E+00;0,76;
-304;-1,56E+00;-4,00E-02;-1,52E+00;0,76;
-302;-1,76E+00;0,00E+00;-1,76E+00;0,76;
-300;-1,76E+00;0,00E+00;-1,76E+00;0,76;
-298;-2,00E+00;-4,00E-02;-1,96E+00;0,76;
-296;-2,00E+00;0,00E+00;-2,00E+00;0,76;
-294;-2,24E+00;-4,00E-02;-2,20E+00;0,76;
-292;-2,24E+00;-4,00E-02;-2,20E+00;0,76;
-290;-2,40E+00;0,00E+00;-2,40E+00;0,76;
-288;-2,44E+00;-4,00E-02;-2,40E+00;0,76;
-286;-2,64E+00;-4,00E-02;-2,60E+00;0,76;
-284;-2,68E+00;-4,00E-02;-2,64E+00;0,76;
-282;-2,84E+00;0,00E+00;-2,84E+00;0,76;
-280;-2,84E+00;-4,00E-02;-2,80E+00;0,76;
-278;-3,00E+00;0,00E+00;-3,00E+00;0,76;
-276;-3,00E+00;-4,00E-02;-2,96E+00;0,76;
-274;-3,16E+00;0,00E+00;-3,16E+00;0,76;
-272;-3,16E+00;-4,00E-02;-3,12E+00;0,76;
-270;-3,32E+00;-4,00E-02;-3,28E+00;0,76;
-268;-3,32E+00;0,00E+00;-3,32E+00;0,76;
-266;-3,40E+00;-4,00E-02;-3,36E+00;0,76;
-264;-3,44E+00;-4,00E-02;-3,40E+00;0,76;
-262;-3,52E+00;-4,00E-02;-3,48E+00;0,76;
-260;-3,52E+00;-4,00E-02;-3,48E+00;0,76;
-258;-3,60E+00;0,00E+00;-3,60E+00;0,76;
-256;-3,64E+00;-4,00E-02;-3,60E+00;0,76;
-254;-3,64E+00;0,00E+00;-3,64E+00;0,76;
-252;-3,64E+00;-4,00E-02;-3,60E+00;0,76;
-250;-3,72E+00;0,00E+00;-3,72E+00;0,76;
-248;-3,72E+00;-4,00E-02;-3,68E+00;0,76;
